Ticker,Date,Current_Value,Previous_Value,Previous_Date,Difference_Num,Difference_Pct,Check_Type,Threshold_Applied,Direction
DJCA,2020-03-30,7365.27,7165.62,2020-03-27,199.65,0.0279,DoD,0.01,up
DJCA,2020-03-30,7365.27,6100.31,2020-03-23,1264.96,0.2074,WoW,0.05,up
DJCA,2020-03-31,7221.21,7365.27,2020-03-30,-144.06,-0.0196,DoD,0.01,down
DJCA,2020-03-31,7221.21,6797.83,2020-03-24,423.38,0.0623,WoW,0.05,up
DJCA,2020-04-01,6866.08,7221.21,2020-03-31,-355.13,-0.0492,DoD,0.01,down
DJCA,2020-04-02,7014.83,6866.08,2020-04-01,148.75,0.0217,DoD,0.01,up
DJCA,2020-04-02,7014.83,7412.43,2020-03-26,-397.6,-0.0536,WoW,0.05,down
DJCA,2020-04-03,6873.01,7014.83,2020-04-02,-141.82,-0.0202,DoD,0.01,down
DJCA,2020-04-06,7392.72,6873.01,2020-04-03,519.71,0.0756,DoD,0.01,up
DJCA,2020-04-08,7660.88,7380.33,2020-04-07,280.55,0.038,DoD,0.01,up
DJCA,2020-04-08,7660.88,6866.08,2020-04-01,794.8,0.1158,WoW,0.05,up
DJCA,2020-04-09,7804.73,7660.88,2020-04-08,143.85,0.0188,DoD,0.01,up
DJCA,2020-04-09,7804.73,7014.83,2020-04-02,789.9,0.1126,WoW,0.05,up
DJCA,2020-04-13,7650.63,7804.73,2020-04-09,-154.1,-0.0197,DoD,0.01,down
DJCA,2020-04-13,7650.63,6873.01,2020-04-03,777.62,0.1131,WoW,0.05,up
DJCA,2020-04-14,7830.89,7650.63,2020-04-13,180.26,0.0236,DoD,0.01,up
DJCA,2020-04-14,7830.89,7392.72,2020-04-06,438.17,0.0593,WoW,0.05,up
DJCA,2020-04-15,7656.83,7830.89,2020-04-14,-174.06,-0.0222,DoD,0.01,down
DJCA,2020-04-17,7896.55,7659.7,2020-04-16,236.85,0.0309,DoD,0.01,up
DJCA,2020-04-20,7673.59,7896.55,2020-04-17,-222.96,-0.0282,DoD,0.01,down
DJCA,2020-04-21,7500.98,7673.59,2020-04-20,-172.61,-0.0225,DoD,0.01,down
DJCA,2020-04-22,7630.38,7500.98,2020-04-21,129.4,0.0173,DoD,0.01,up
DJCA,2020-04-24,7724.05,7636.44,2020-04-23,87.61,0.0115,DoD,0.01,up
DJCA,2020-04-27,7860.19,7724.05,2020-04-24,136.14,0.0176,DoD,0.01,up
DJCA,2020-04-29,8008.44,7871.68,2020-04-28,136.76,0.0174,DoD,0.01,up
DJCA,2020-04-30,7862.52,8008.44,2020-04-29,-145.92,-0.0182,DoD,0.01,down
DJCA,2020-05-01,7658.99,7862.52,2020-04-30,-203.53,-0.0259,DoD,0.01,down
DJCA,2020-05-06,7578.68,7694.53,2020-05-05,-115.85,-0.0151,DoD,0.01,down
DJCA,2020-05-06,7578.68,8008.44,2020-04-29,-429.76,-0.0537,WoW,0.05,down
DJCA,2020-05-07,7654.66,7578.68,2020-05-06,75.98,0.01,DoD,0.01,up
DJCA,2020-05-08,7824.07,7654.66,2020-05-07,169.41,0.0221,DoD,0.01,up
DJCA,2020-05-12,7625.26,7778.02,2020-05-11,-152.76,-0.0196,DoD,0.01,down
DJCA,2020-05-13,7478.46,7625.26,2020-05-12,-146.8,-0.0193,DoD,0.01,down
DJCA,2020-05-14,7571.68,7478.46,2020-05-13,93.22,0.0125,DoD,0.01,up
DJCA,2020-05-18,7889.39,7542.66,2020-05-15,346.73,0.046,DoD,0.01,up
DJCA,2020-05-19,7773.22,7889.39,2020-05-18,-116.17,-0.0147,DoD,0.01,down
DJCA,2020-05-20,7899.45,7773.22,2020-05-19,126.23,0.0162,DoD,0.01,up
DJCA,2020-05-20,7899.45,7478.46,2020-05-13,420.99,0.0563,WoW,0.05,up
DJCA,2020-05-26,8079.96,7878.64,2020-05-22,201.32,0.0256,DoD,0.01,up
DJCA,2020-05-27,8255.95,8079.96,2020-05-26,175.99,0.0218,DoD,0.01,up
DJCA,2020-05-27,8255.95,7773.22,2020-05-19,482.73,0.0621,WoW,0.05,up
DJCA,2020-06-02,8368.23,8271.8,2020-06-01,96.43,0.0117,DoD,0.01,up
DJCA,2020-06-03,8554.09,8368.23,2020-06-02,185.86,0.0222,DoD,0.01,up
DJCA,2020-06-05,8797.87,8553.37,2020-06-04,244.5,0.0286,DoD,0.01,up
DJCA,2020-06-05,8797.87,8239.6,2020-05-29,558.27,0.0678,WoW,0.05,up
DJCA,2020-06-08,8962.47,8797.87,2020-06-05,164.6,0.0187,DoD,0.01,up
DJCA,2020-06-08,8962.47,8271.8,2020-06-01,690.67,0.0835,WoW,0.05,up
DJCA,2020-06-09,8825.49,8962.47,2020-06-08,-136.98,-0.0153,DoD,0.01,down
DJCA,2020-06-09,8825.49,8368.23,2020-06-02,457.26,0.0546,WoW,0.05,up
DJCA,2020-06-10,8708.66,8825.49,2020-06-09,-116.83,-0.0132,DoD,0.01,down
DJCA,2020-06-11,8137.92,8708.66,2020-06-10,-570.74,-0.0655,DoD,0.01,down
DJCA,2020-06-12,8280.24,8137.92,2020-06-11,142.32,0.0175,DoD,0.01,up
DJCA,2020-06-12,8280.24,8797.87,2020-06-05,-517.63,-0.0588,WoW,0.05,down
DJCA,2020-06-15,8339.43,8962.47,2020-06-08,-623.04,-0.0695,WoW,0.05,down
DJCA,2020-06-16,8465.82,8339.43,2020-06-15,126.39,0.0152,DoD,0.01,up
DJCA,2020-06-19,8288.65,8408.05,2020-06-18,-119.4,-0.0142,DoD,0.01,down
DJCA,2020-06-24,8163.9,8370.31,2020-06-23,-206.41,-0.0247,DoD,0.01,down
DJCA,2020-06-26,8028.39,8223.63,2020-06-25,-195.24,-0.0237,DoD,0.01,down
DJCA,2020-06-29,8219.33,8028.39,2020-06-26,190.94,0.0238,DoD,0.01,up
DJCA,2020-07-06,8449.43,8344.08,2020-07-02,105.35,0.0126,DoD,0.01,up
DJCA,2020-07-06,8449.43,8028.39,2020-06-26,421.04,0.0524,WoW,0.05,up
DJCA,2020-07-07,8344.36,8449.43,2020-07-06,-105.07,-0.0124,DoD,0.01,down
DJCA,2020-07-09,8277.25,8401.4,2020-07-08,-124.15,-0.0148,DoD,0.01,down
DJCA,2020-07-10,8415.93,8277.25,2020-07-09,138.68,0.0168,DoD,0.01,up
DJCA,2020-07-14,8572.4,8416.33,2020-07-13,156.07,0.0185,DoD,0.01,up
DJCA,2020-07-15,8667.57,8572.4,2020-07-14,95.17,0.0111,DoD,0.01,up
DJCA,2020-08-10,9166.38,9040.58,2020-08-07,125.8,0.0139,DoD,0.01,up
DJCA,2020-08-12,9208.97,9116.6,2020-08-11,92.37,0.0101,DoD,0.01,up
DJCA,2020-08-24,9282.43,9151.03,2020-08-21,131.4,0.0144,DoD,0.01,up
DJCA,2020-09-02,9499.77,9339.25,2020-09-01,160.52,0.0172,DoD,0.01,up
DJCA,2020-09-03,9265.28,9499.77,2020-09-02,-234.49,-0.0247,DoD,0.01,down
DJCA,2020-09-08,9076.56,9238.33,2020-09-04,-161.77,-0.0175,DoD,0.01,down
DJCA,2020-09-09,9215.53,9076.56,2020-09-08,138.97,0.0153,DoD,0.01,up
DJCA,2020-09-10,9099.44,9215.53,2020-09-09,-116.09,-0.0126,DoD,0.01,down
DJCA,2020-09-14,9256.7,9152.92,2020-09-11,103.78,0.0113,DoD,0.01,up
